billingUnitID,legalEntityID,financialProductID,periodFrom,periodTo,sumFrom,sumTo,interestRate
1,00000000-0002-0000-0007-000000000000,2869519477,16,30,3000,30000,1
2,00000000-0002-0000-0007-000000000000,4149678372,16,26,3000,30000,1
3,00000000-0002-0000-0007-000000000000,3131887458,27,27,3000,30000,0.95
4,00000000-0002-0000-0007-000000000000,3524735265,28,28,3000,30000,0.95
5,00000000-0002-0000-0007-000000000000,3916111810,29,29,3000,30000,0.95
6,00000000-0002-0000-0007-000000000000,4134425156,30,30,3000,30000,0.95
7,00000000-0002-0000-0007-000000000000,3763411041,31,31,3000,30000,0.95
8,00000000-0002-0000-0007-000000000000,772614331,27,27,3000,30000,0.87
9,00000000-0002-0000-0007-000000000000,1005764184,28,28,3000,30000,0.87
10,00000000-0002-0000-0007-000000000000,1311083590,29,29,3000,30000,0.87
11,00000000-0002-0000-0007-000000000000,1541146287,30,30,3000,30000,0.87
12,00000000-0002-0000-0007-000000000000,3979285874,31,31,3000,30000,0.87
13,00000000-0002-0000-0007-000000000000,2194403712,27,27,3000,30000,0.85
14,00000000-0002-0000-0007-000000000000,2432142275,28,28,3000,30000,0.85
15,00000000-0002-0000-0007-000000000000,2607459215,29,29,3000,30000,0.85
16,00000000-0002-0000-0007-000000000000,2817747262,30,30,3000,30000,0.85
17,00000000-0002-0000-0007-000000000000,1156510738,31,31,3000,30000,0.85
18,00000000-0002-0000-0007-000000000000,631941975,27,27,3000,30000,0.83
19,00000000-0002-0000-0007-000000000000,784779873,28,28,3000,30000,0.83
20,00000000-0002-0000-0007-000000000000,1133362296,29,29,3000,30000,0.83
21,00000000-0002-0000-0007-000000000000,1742013525,30,30,3000,30000,0.83
22,00000000-0002-0000-0007-000000000000,3331696969,31,31,3000,30000,0.83
