billingUnitID,financialProductID,periodFrom,periodTo,sumFrom,sumTo,interestRate
1,2869519477,16,30,3000,30000,1
2,4149678372,16,26,3000,30000,1
3,3131887458,27,27,3000,30000,0.95
4,3524735265,28,28,3000,30000,0.95
5,3916111810,29,29,3000,30000,0.95
6,4134425156,30,30,3000,30000,0.95
7,3763411041,31,31,3000,30000,0.95
8,772614331,27,27,3000,30000,0.87
9,1005764184,28,28,3000,30000,0.87
10,1311083590,29,29,3000,30000,0.87
11,1541146287,30,30,3000,30000,0.87
12,3979285874,31,31,3000,30000,0.87
13,2194403712,27,27,3000,30000,0.85
14,2432142275,28,28,3000,30000,0.85
15,2607459215,29,29,3000,30000,0.85
16,2817747262,30,30,3000,30000,0.85
17,1156510738,31,31,3000,30000,0.85
18,631941975,27,27,3000,30000,0.83
19,784779873,28,28,3000,30000,0.83
20,1133362296,29,29,3000,30000,0.83
21,1742013525,30,30,3000,30000,0.83
22,3331696969,31,31,3000,30000,0.83
